Mean 	MCSE 	StdDev 	5% 	50% 	95% 	N_Eff 	N_Eff/s 	R_hat
lp__ 	-6.317470e+07 	4.465690e+07 	6.325110e+07 	-1.309450e+08 	-27677.500000 	-5671.100000 	2.00614 	0.000101 	248.41600
h_param 	8.781830e-01 	8.845100e-01 	1.254260e+00 	1.020830e-02 	0.263355 	3.043710 	2.01079 	0.000101 	19.28980
p_param 	-1.481690e+00 	6.029150e-01 	9.959800e-01 	-3.333830e+00 	-0.726053 	-0.579928 	2.72891 	0.000137 	1.89079
Vsun_pec_x 	9.008540e+00 	6.687580e+00 	9.664350e+00 	-5.512590e-01 	1.662360 	21.043800 	2.08837 	0.000105 	4.85764
Vsun_pec_y 	1.156680e+01 	7.915100e+00 	1.126090e+01 	-8.106060e-01 	11.134200 	23.924700 	2.02411 	0.000102 	10.06210
Vsun_pec_z 	4.771880e+00 	2.905160e+00 	4.117320e+00 	-3.181630e-02 	7.299010 	9.063820 	2.00857 	0.000101 	26.41530
amplitude_x 	6.655950e+01 	4.639580e+01 	6.672940e+01 	4.755180e-01 	66.269300 	136.626000 	2.06860 	0.000104 	5.40281
amplitude_y 	2.871070e+01 	2.178250e+01 	6.581160e+01 	2.205820e-01 	14.787600 	54.840200 	9.12831 	0.000458 	1.13263
amplitude_z 	6.862190e+00 	4.488820e+00 	7.198430e+00 	2.375350e-01 	10.628300 	13.187000 	2.57165 	0.000129 	2.03102
R_scale_x 	9.466620e+00 	6.294200e+00 	9.032820e+00 	1.408060e-01 	1.074490 	20.385800 	2.05952 	0.000103 	5.89917
R_scale_y 	6.996820e+00 	3.603400e+00 	1.579620e+01 	1.411660e-01 	5.878630 	10.261700 	19.21670 	0.000965 	1.07260
R_scale_z 	1.045870e+01 	6.002490e+00 	8.598420e+00 	1.346680e+00 	13.968100 	20.720500 	2.05199 	0.000103 	6.31062
model_pm[1,1] 	-1.397250e+00 	2.325740e-01 	3.336510e-01 	-1.773460e+00 	-1.666010 	-0.984783 	2.05808 	0.000103 	6.06096
model_pm[1,2] 	-3.791710e-01 	2.165310e-01 	3.069610e-01 	-7.004120e-01 	-0.127170 	-0.024700 	2.00968 	0.000101 	22.14220
model_pm[2,1] 	-1.647960e+00 	2.496640e-01 	3.589830e-01 	-2.054910e+00 	-1.932090 	-1.207400 	2.06746 	0.000104 	5.60393
model_pm[2,2] 	-3.953600e-01 	2.366920e-01 	3.354690e-01 	-7.452530e-01 	-0.122965 	-0.005200 	2.00881 	0.000101 	25.27600
model_pm[3,1] 	-2.277560e+00 	7.464850e-02 	1.571050e-01 	-2.430210e+00 	-2.291350 	-2.122020 	4.42935 	0.000222 	1.34289
